region,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
7,1,0,1,35,5,3,1,0,50,1
28,1,1,1,33,5,6,1,0,51,1
4,2,1,1,50,4,17,1,0,47,1
22,1,1,1,27,3,1,1,1,58,1
22,1,1,1,27,3,1,0,0,61,1
31,1,1,1,30,3,7,1,0,84,1
22,2,1,1,34,5,7,1,0,78,1
2,2,1,1,38,4,2,1,0,49,1
22,1,1,1,30,3,3,0,0,58,1
7,1,1,1,29,3,1,0,0,65,1
11,2,0,1,42,5,11,1,0,60,1
7,2,1,1,32,5,3,1,0,69,1
15,1,1,1,31,5,4,1,0,63,1
13,1,1,1,35,4,6,1,0,57,1
7,1,0,1,40,3,2,1,0,90,1
2,1,1,1,27,5,2,0,0,86,1
23,1,0,1,27,4,4,1,0,72,1
25,2,1,1,34,5,7,1,0,51,1
34,2,1,1,37,5,3,0,1,92,1
22,1,1,1,32,3,8,0,0,89,1
5,1,0,2,34,5,8,0,0,88,1
2,1,1,1,25,5,3,1,0,70,1
13,2,1,1,43,3,7,1,0,56,1
17,1,1,1,34,4,7,1,0,48,1
23,2,0,1,34,4,5,1,1,94,1
13,2,0,1,38,5,2,1,1,93,1
22,1,1,2,37,2,4,1,0,57,1
2,1,0,1,29,4,2,1,0,95,1
20,2,1,1,40,5,5,0,1,83,1
22,2,1,1,34,3,3,0,0,75,1
2,0,1,1,22,5,2,0,0,62,1
2,1,0,2,26,5,2,1,0,68,1
12,1,0,1,32,5,5,0,1,84,1
22,2,1,1,30,4,2,1,0,96,1
26,1,1,1,45,4,15,0,0,64,1
2,1,0,1,34,5,5,0,0,60,1
28,0,1,1,24,2,2,1,0,52,1
1,2,1,1,37,3,10,1,0,49,1
14,1,1,1,35,5,10,1,0,59,1
13,1,0,1,33,3,4,1,0,76,1
7,1,0,1,32,5,8,1,0,46,1
7,1,0,1,45,3,4,0,1,65,1
22,2,0,1,48,3,15,0,0,69,1
17,2,1,1,45,3,16,0,0,87,1
22,2,1,3,32,3,4,1,0,64,1
7,2,0,1,33,5,6,0,0,74,1
12,1,1,1,35,4,10,1,0,50,1
7,1,1,1,33,5,8,1,0,59,1
2,1,0,1,34,2,7,1,0,49,1
28,1,1,1,36,5,3,1,0,91,1
23,2,1,2,35,5,6,1,0,91,1
29,1,1,1,30,5,1,0,0,96,1
26,1,1,1,28,3,1,0,0,82,1
7,1,1,2,32,5,3,1,0,83,1
26,1,1,1,40,3,18,1,0,55,1
2,0,0,1,24,3,1,0,0,73,1
2,2,0,1,39,1,10,1,0,52,1
2,0,1,1,24,3,2,1,1,81,1
2,1,1,1,47,4,16,1,0,48,1
22,1,1,1,32,4,4,1,1,57,1
14,2,1,1,33,4,3,1,0,94,1
32,1,0,4,32,5,8,0,0,93,1
34,1,1,1,29,5,4,0,0,84,1
2,1,1,1,26,3,1,1,1,81,1
4,1,1,2,29,5,5,1,0,63,1
25,1,1,1,30,3,6,1,0,84,1
7,1,1,1,35,5,3,1,1,45,1
7,1,1,1,30,3,1,1,0,78,1
22,1,0,2,27,3,3,1,0,85,1
31,1,1,2,28,3,2,1,0,86,1
4,2,0,1,37,5,8,1,1,99,1
28,2,1,1,33,3,3,1,1,60,1
7,2,0,1,39,4,4,1,0,78,1
26,1,1,1,28,2,2,1,0,52,1
7,1,1,1,33,3,4,0,0,74,1
32,1,1,1,36,4,3,1,0,74,1
22,1,1,1,32,3,3,1,1,78,1
26,1,1,1,35,1,6,1,0,77,1
22,1,1,1,34,3,3,0,0,89,1
4,1,0,1,30,3,8,1,0,50,1
20,1,0,1,33,2,3,1,0,69,1
7,1,0,1,29,5,4,1,0,72,1
7,2,1,1,42,5,11,1,0,54,1
17,2,0,1,36,3,4,0,0,81,1
28,0,1,1,25,4,3,1,0,64,1
15,1,0,2,42,5,5,1,0,61,1
17,1,1,1,36,4,5,1,0,78,1
4,1,1,1,30,5,3,1,0,77,1
28,2,1,1,36,3,2,1,0,45,1
3,1,1,1,32,5,5,1,0,47,1
4,1,0,1,39,5,9,1,0,61,1
22,1,1,1,28,3,1,1,0,86,1
22,1,1,1,29,3,2,1,0,55,1
22,1,1,1,27,5,4,0,0,68,1
7,2,0,1,41,4,8,1,1,93,1
7,1,1,2,29,5,2,0,0,86,1
15,1,1,1,40,3,12,1,0,47,1
4,2,1,1,44,3,15,1,0,61,1
5,1,0,1,24,3,1,0,0,81,1
28,1,1,1,28,5,4,0,1,91,1
22,1,0,3,36,2,4,0,0,78,1
4,2,1,1,42,4,8,1,0,85,1
15,2,1,2,44,5,11,1,0,92,1
22,1,0,1,29,4,4,1,0,92,1
22,1,1,1,26,3,1,0,0,80,1
13,2,0,1,40,3,5,1,0,50,1
17,1,0,1,32,5,4,1,0,95,1
22,1,1,1,28,3,1,1,0,51,1
13,2,0,1,36,3,6,1,0,67,1
23,1,1,1,35,3,9,1,0,45,1
13,1,1,1,34,3,3,0,0,68,1
15,1,1,1,37,5,11,0,1,86,1
16,1,0,1,37,5,5,0,0,77,1
5,2,1,1,37,2,7,0,1,81,1
22,2,1,3,36,3,7,1,0,80,1
22,1,0,1,34,5,2,1,0,65,1
13,1,1,1,38,5,4,0,0,93,1
6,1,1,1,32,3,6,1,0,47,1
28,1,1,1,34,3,7,1,0,80,1
26,1,1,2,40,3,2,1,1,84,1
7,1,1,1,32,3,4,0,0,65,1
7,1,1,1,36,3,4,1,0,72,1
13,1,1,1,54,5,11,1,0,45,1
22,1,0,1,26,5,3,1,0,80,1
17,1,0,1,26,5,4,0,0,86,1
3,1,1,1,34,4,9,1,0,46,1
2,0,1,3,23,3,1,0,0,82,1
2,1,1,1,30,5,6,0,1,86,1
2,1,1,1,36,4,8,1,0,51,1
27,1,0,1,28,4,2,1,0,78,1
21,1,1,1,48,3,4,1,0,51,1
7,1,0,1,32,4,5,1,0,99,1
2,1,0,1,24,4,2,1,0,84,1
13,2,0,1,34,5,7,1,0,74,1
26,1,0,1,31,3,5,1,0,46,1
22,2,1,1,37,4,6,1,0,82,1
17,1,1,1,31,4,3,0,0,60,1
25,1,1,1,32,5,6,1,0,57,1
28,0,1,1,34,5,7,1,0,53,1
26,2,1,1,41,5,14,1,0,45,1
2,1,0,1,35,4,7,1,0,54,1
14,1,1,1,39,3,10,0,0,58,1
4,1,0,1,36,3,9,1,0,61,1
2,1,1,2,40,3,4,1,0,66,1
2,1,0,1,32,5,10,0,0,69,1
28,2,1,1,34,3,9,0,0,80,1
7,2,0,1,56,5,7,1,1,61,1
15,2,1,1,40,4,9,1,0,72,1
28,2,1,1,35,2,8,1,0,78,1
22,1,0,1,26,5,4,1,0,86,1
27,1,1,2,28,3,1,1,0,71,1
2,0,1,1,23,5,2,0,0,64,1
22,0,1,1,29,5,2,1,0,83,1
11,2,1,1,41,3,5,1,0,63,1
23,2,0,1,34,5,7,0,0,86,1
3,2,1,1,37,4,10,1,0,92,1
28,2,1,1,43,3,11,1,0,55,1
2,1,0,2,37,4,9,1,0,51,1
22,1,1,1,28,5,8,0,0,87,1
2,2,0,1,38,5,7,1,0,72,1
2,2,1,1,41,3,13,1,0,85,1
8,2,0,1,32,2,9,0,0,88,1
15,1,0,1,30,3,5,0,0,85,1
16,2,0,1,35,3,9,1,0,70,1
4,2,0,1,33,5,3,0,0,65,1
16,0,1,1,22,3,1,0,0,61,1
2,1,0,1,34,3,6,0,0,83,1
7,2,1,1,54,4,14,1,0,48,1
2,2,1,1,35,5,8,1,0,48,1
2,0,0,1,43,5,11,1,0,46,1
22,1,0,1,27,5,4,0,0,77,1
22,1,0,1,37,5,11,1,0,62,1
1,2,1,1,39,3,3,1,0,45,1
22,1,1,1,30,5,6,1,0,54,1
15,2,1,1,39,2,4,1,1,74,1
22,1,1,1,32,5,4,0,1,99,1
21,1,1,1,34,3,6,1,0,55,1
13,2,1,1,36,3,7,1,0,87,1
29,1,1,1,35,3,10,1,0,50,1
7,1,0,1,24,3,1,1,0,47,1
28,1,1,1,31,5,5,1,0,55,1
22,2,0,1,33,5,7,1,0,68,1
27,2,1,1,40,5,14,1,1,85,1
27,1,1,1,29,4,1,1,0,81,1
31,0,1,1,23,3,1,1,0,47,1
7,0,1,1,35,4,2,0,1,71,1
13,2,0,1,32,4,7,1,0,97,1
15,1,0,1,35,5,4,0,0,74,1
8,1,1,1,27,5,5,1,0,87,1
11,1,0,1,31,5,2,1,0,71,1
7,1,1,1,32,5,7,1,0,70,1
2,1,1,1,37,3,8,0,0,59,1
2,2,1,1,37,3,7,0,0,59,1
2,1,1,1,44,5,3,0,0,57,1
22,1,1,1,26,5,5,1,0,93,1
2,1,0,1,54,4,12,1,0,47,1
2,1,0,1,30,4,6,1,1,59,1
27,1,1,1,33,5,3,1,0,92,1
13,1,1,1,40,3,4,1,0,67,1
22,1,1,1,28,3,2,1,0,88,1
19,1,1,1,38,5,3,1,0,70,1
13,1,1,2,35,3,3,0,0,93,1
10,1,0,1,29,4,4,1,0,82,1
26,1,1,1,26,5,4,1,0,78,1
22,1,1,1,29,4,4,1,0,80,1
2,2,1,1,54,3,12,1,0,53,1
2,2,1,1,38,5,6,0,0,79,1
17,1,1,1,30,3,6,0,0,81,1
2,1,1,1,33,3,4,1,0,82,1
15,1,1,1,46,5,9,0,1,89,1
4,1,0,1,39,3,5,1,0,58,1
4,1,1,2,30,3,5,0,0,86,1
7,2,0,1,42,5,12,1,0,77,1
13,1,1,1,26,3,2,0,0,85,1
33,1,1,1,34,3,3,1,1,75,1
7,1,0,1,35,3,7,0,0,89,1
2,1,1,1,59,3,4,1,0,51,1
2,2,0,1,39,3,7,1,0,72,1
17,1,1,1,41,5,7,1,1,72,1
13,2,1,1,34,5,9,1,0,50,1
7,2,1,1,42,3,5,1,0,82,1
22,1,1,2,28,5,5,0,0,83,1
22,1,1,2,55,5,18,0,0,71,1
7,1,0,2,28,3,1,1,0,85,1
16,2,1,1,42,3,5,0,0,81,1
14,0,1,2,23,3,2,1,0,51,1
2,1,0,1,26,5,3,1,0,79,1
22,1,1,3,29,4,4,1,0,56,1
28,0,1,1,28,3,1,0,0,67,1
2,1,0,1,34,4,3,1,0,79,1
22,1,1,1,27,3,2,1,1,96,1
2,1,0,1,32,4,8,0,0,63,1
4,1,1,1,30,2,4,0,0,60,1
15,1,0,1,29,5,5,1,0,71,1
16,1,1,1,41,5,3,1,0,48,1
20,1,1,1,30,3,1,1,0,84,1
2,1,1,1,31,3,6,1,1,44,1
26,1,1,1,30,1,4,0,0,85,1
4,1,1,1,38,5,3,0,0,63,1
22,2,0,2,38,3,12,1,0,87,1
2,2,0,1,35,5,8,1,0,60,1
15,1,1,1,32,5,7,1,0,58,1
7,0,1,1,25,3,3,1,0,48,1
22,1,0,1,39,5,8,1,0,57,1
7,1,1,1,30,4,5,1,0,65,1
15,2,1,1,36,4,3,1,0,65,1
4,1,1,1,36,3,12,0,0,70,1
2,1,0,1,30,3,2,1,0,77,1
22,2,1,1,28,3,1,1,0,85,1
32,0,1,1,30,5,4,1,0,82,1
22,1,0,1,34,5,6,0,0,74,1
16,2,1,1,44,4,16,1,0,89,1
2,2,1,1,42,5,4,0,0,63,1
20,1,1,2,28,2,2,0,0,87,1
11,1,1,1,29,5,4,0,0,61,1
25,1,1,1,33,5,7,1,0,44,1
26,1,1,1,41,5,11,1,1,82,1
2,1,1,1,41,4,6,1,0,62,1
16,1,1,1,51,4,17,0,0,63,1
7,2,1,1,39,5,6,1,1,47,1
7,2,1,2,37,3,5,1,1,94,1
22,1,0,1,38,4,9,0,0,72,1
28,1,0,1,30,5,7,1,0,60,1
22,1,1,1,40,5,3,1,1,60,1
5,1,1,1,29,5,3,1,0,58,1
2,2,0,1,46,3,13,1,0,69,1
30,1,1,1,29,5,3,1,0,86,1
2,1,1,2,41,2,13,1,0,82,1
22,1,0,2,27,3,4,0,1,81,1
6,1,1,3,27,4,3,1,0,68,1
17,1,1,1,39,4,14,0,0,88,1
2,1,0,1,31,4,5,1,0,49,1
22,2,0,1,35,3,4,0,1,96,1
7,1,0,1,30,3,4,0,0,89,1
26,1,1,1,30,3,5,1,0,90,1
22,2,1,1,31,5,4,1,0,57,1
2,2,1,2,38,3,9,1,0,91,1
