neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1,0,1.44255,103.7958,0,83.0,180,1,2136,0.01,2,365
2,1,1.33235,103.78520999999999,0,81.0,90,18,1705,0.28,1,365
1,0,1.44246,103.79666999999999,0,69.0,6,20,1426,0.2,2,365
3,2,1.34541,103.95711999999999,0,206.0,1,14,16,0.15,9,353
3,2,1.3456700000000001,103.95963,0,94.0,1,22,30,0.22,9,355
3,2,1.34702,103.96103000000001,0,104.0,1,39,12,0.38,9,346
3,2,1.34348,103.96337,0,208.0,1,25,33,0.25,9,172
3,3,1.32304,103.91363,0,50.0,90,174,88,1.88,4,59
3,3,1.3245799999999999,103.91163,0,54.0,90,198,121,2.08,4,133
3,3,1.32461,103.91190999999999,0,42.0,90,236,27,2.53,4,147
2,4,1.28875,103.80814000000001,0,44.0,15,18,128,0.23,32,331
2,4,1.28837,103.81099,0,40.0,30,10,348,0.11,32,276
2,5,1.31125,103.83816,0,65.0,2,125,5,1.35,6,336
2,4,1.28976,103.80896,0,44.0,30,13,206,0.15,32,340
2,4,1.28677,103.81244000000001,0,40.0,30,10,122,0.14,32,331
2,4,1.2853700000000001,103.81087,0,31.0,90,3,1100,0.04,32,361
3,2,1.34943,103.95951,0,49.0,2,45,16,0.5,9,357
2,6,1.3142,103.90231999999999,0,81.0,90,0,2137,1.04,1,173
2,5,1.3115,103.83759,0,60.0,2,84,48,1.17,6,340
2,5,1.31159,103.83805,0,60.0,2,157,12,1.75,6,349
2,7,1.29345,103.83561999999999,0,56.0,90,27,750,0.36,1,364
3,2,1.34838,103.9592,0,104.0,1,16,23,0.19,9,300
3,2,1.34816,103.93238000000001,0,37.0,180,0,2137,1.04,1,365
4,8,1.34135,103.71139000000001,0,53.0,2,23,16,0.27,3,345
2,1,1.33171,103.79383,2,276.0,4,11,597,0.13,1,362
2,9,1.3010899999999999,103.85234,0,167.0,180,0,2137,1.04,1,365
2,1,1.31016,103.79853,0,100.0,90,28,745,0.33,1,90
2,10,1.30901,103.79639,1,208.0,1,0,2137,1.04,1,0
5,11,1.36743,103.87288000000001,0,26.0,180,0,2137,1.04,1,365
3,3,1.30792,103.92286999999999,2,176.0,2,99,3,1.28,1,7
2,12,1.30377,103.89956,0,165.0,2,68,32,0.83,5,167
5,11,1.35001,103.87161,0,44.0,1,36,573,0.44,1,0
3,13,1.37527,103.94561999999999,0,206.0,1,0,2137,1.04,1,0
2,14,1.34143,103.84945,0,51.0,92,48,6,0.61,1,179
2,15,1.28315,103.84213000000001,0,44.0,90,2,16,0.02,112,365
5,16,1.39963,103.9064,0,167.0,1,0,2137,1.04,1,365
2,10,1.28342,103.78585,0,128.0,3,0,2137,1.04,1,365
2,4,1.28909,103.80749,0,40.0,30,13,11,0.17,32,331
2,12,1.30529,103.9042,2,300.0,2,37,564,0.46,5,221
2,12,1.30392,103.89988000000001,0,150.0,2,68,92,0.84,5,173
2,17,1.29839,103.82808,2,200.0,60,9,561,0.11,3,334
